Function	Run	Duration(ns)
remainder	10	748291
remainder	11	742167
remainder	12	741834
remainder	13	741834
remainder	14	745709
remainder	15	741875
remainder	16	742167
remainder	17	742208
remainder	18	742125
remainder	19	742167
remainder	20	745125
remainder	21	742208
remainder	22	742167
remainder	23	742166
remainder	24	742167
remainder	25	741875
remainder	26	742167
remainder	27	766125
remainder	28	746125
remainder	29	750375
remainder	30	745792
remainder	31	742167
remainder	32	742125
remainder	33	741834
remainder	34	748625
remainder	35	742042
remainder	36	741833
remainder	37	742041
remainder	38	742042
remainder	39	742041
remainder	40	750792
remainder	41	745750
remainder	42	741834
remainder	43	745209
remainder	44	742375
remainder	45	745000
remainder	46	745500
remainder	47	746958
remainder	48	741958
remainder	49	742000
remainder	50	742042
remainder	51	742000
remainder	52	754666
remainder	53	743250
remainder	54	742167
remainder	55	742042
remainder	56	742000
remainder	57	742041
remainder	58	741875
remainder	59	741875
remainder	60	756875
remainder	61	746459
remainder	62	742042
remainder	63	749458
remainder	64	745541
remainder	65	742125
remainder	66	741958
remainder	67	741875
remainder	68	745875
remainder	69	746084
remainder	70	748709
remainder	71	741917
remainder	72	742000
remainder	73	741958
remainder	74	761416
remainder	75	745708
remainder	76	741917
remainder	77	749416
remainder	78	741958
remainder	79	741958
remainder	80	745042
remainder	81	744959
remainder	82	741917
remainder	83	741916
remainder	84	742000
remainder	85	758416
remainder	86	718666
remainder	87	694833
remainder	88	701084
remainder	89	704792
remainder	90	728166
remainder	91	745417
remainder	92	732167
remainder	93	730083
remainder	94	745167
remainder	95	728334
remainder	96	736375
remainder	97	730750
remainder	98	736209
remainder	99	731042
remainder	100	738666
bitwise	1	1809084
bitwise	2	1742875
bitwise	3	1671875
bitwise	4	1594417
bitwise	5	1442125
bitwise	6	1549042
bitwise	7	1469375
bitwise	8	1414250
bitwise	9	1275750
bitwise	10	1319417
bitwise	11	1275708
bitwise	12	1295166
bitwise	13	1316250
bitwise	14	1259250
bitwise	15	1146833
bitwise	16	1154041
bitwise	17	1157667
bitwise	18	1157209
bitwise	19	1244459
bitwise	20	1144250
bitwise	21	1162291
bitwise	22	1048667
bitwise	23	1046292
bitwise	24	1046000
bitwise	25	1062667
bitwise	26	1114791
bitwise	27	1000125
bitwise	28	971292
bitwise	29	972166
bitwise	30	975000
bitwise	31	981458
bitwise	32	969542
bitwise	33	969167
bitwise	34	969416
bitwise	35	967083
bitwise	36	909458
bitwise	37	909208
bitwise	38	916708
bitwise	39	914500
bitwise	40	909166
bitwise	41	904333
bitwise	42	865583
bitwise	43	926083
bitwise	44	889791
