Function	Run	Duration(ns)
str	1	13917
str	2	10166
str	3	12500
str	4	10083
str	5	9916
str	6	12500
str	7	9916
str	8	9875
str	9	10166
str	10	9917
str	11	9708
str	12	12042
str	13	9709
str	14	9708
str	15	9958
str	16	9709
str	17	9666
str	18	12167
str	19	9709
str	20	9916
str	21	9709
str	22	9667
str	23	12000
str	24	9667
str	25	9666
str	26	11292
str	27	9667
str	28	9708
str	29	13292
str	30	9750
str	31	9666
str	32	9875
str	33	9667
str	34	9667
str	35	12667
str	36	9709
str	37	11000
str	38	9709
str	39	9667
str	40	13125
str	41	9708
str	42	9666
str	43	9875
str	44	9708
str	45	9708
str	46	13375
str	47	9667
str	48	9667
str	49	10041
str	50	9709
str	51	9709
str	52	12375
str	53	9708
str	54	9667
str	55	9875
str	56	9667
str	57	13250
str	58	9708
str	59	9666
str	60	9875
str	61	9708
str	62	9708
str	63	12292
str	64	9708
str	65	9833
str	66	9875
str	67	9916
str	68	10250
str	69	12041
str	70	9708
str	71	9709
str	72	9875
str	73	9667
str	74	12667
str	75	9708
str	76	9708
str	77	9917
str	78	9708
str	79	9667
str	80	12334
str	81	9708
str	82	9666
str	83	10958
str	84	9709
str	85	9667
str	86	13250
str	87	9709
str	88	9708
str	89	9917
str	90	9709
str	91	13125
str	92	9750
str	93	9708
str	94	9917
str	95	9708
str	96	9666
str	97	12083
str	98	9708
str	99	9667
str	100	11375
round	1	875
round	2	875
round	3	875
round	4	875
round	5	833
round	6	833
round	7	875
round	8	875
round	9	833
round	10	833
round	11	875
round	12	875
round	13	834
round	14	834
round	15	875
round	16	875
round	17	875
round	18	833
round	19	792
round	20	708
round	21	666
round	22	667
round	23	667
round	24	666
round	25	708
round	26	709
round	27	708
round	28	708
round	29	667
round	30	667
round	31	666
round	32	667
round	33	667
round	34	666
round	35	708
round	36	709
round	37	708
round	38	666
round	39	667
round	40	667
round	41	666
round	42	667
round	43	667
round	44	666
round	45	667
round	46	709
round	47	708
round	48	708
round	49	709
round	50	708
round	51	708
round	52	667
round	53	667
round	54	666
round	55	667
round	56	667
round	57	708
round	58	708
round	59	667
round	60	666
round	61	667
round	62	667
round	63	667
round	64	667
round	65	666
round	66	667
round	67	666
round	68	667
round	69	667
round	70	708
round	71	667
round	72	666
round	73	667
round	74	666
round	75	667
round	76	667
round	77	667
round	78	667
round	79	666
round	80	667
round	81	666
round	82	667
round	83	667
round	84	666
round	85	667
round	86	666
round	87	667
round	88	667
round	89	667
round	90	667
round	91	666
round	92	667
round	93	666
round	94	667
round	95	667
round	96	708
round	97	667
round	98	666
round	99	709
round	100	666
regex	1	1210709
regex	2	673458
regex	3	602833
regex	4	857750
regex	5	582167
regex	6	711375
regex	7	613459
regex	8	709542
regex	9	624208
regex	10	717750
regex	11	599917
regex	12	728917
regex	13	629750
regex	14	734916
regex	15	621458
regex	16	744042
regex	17	581916
regex	18	751583
regex	19	574292
regex	20	828458
regex	21	588125
regex	22	788958
regex	23	605166
regex	24	758042
regex	25	588208
regex	26	758333
regex	27	574667
regex	28	718084
regex	29	591917
regex	30	731708
regex	31	591500
regex	32	704291
regex	33	590125
regex	34	723000
regex	35	585833
regex	36	841250
regex	37	606708
regex	38	747958
regex	39	583167
regex	40	702333
regex	41	583917
regex	42	732500
regex	43	579500
regex	44	702750
regex	45	587875
regex	46	716000
regex	47	579000
regex	48	778667
regex	49	615833
regex	50	717500
regex	51	584625
regex	52	693958
regex	53	613959
regex	54	743292
regex	55	600625
regex	56	721542
regex	57	585125
regex	58	712792
regex	59	592958
regex	60	724500
regex	61	668792
regex	62	738666
regex	63	653209
regex	64	595250
regex	65	759666
regex	66	583708
regex	67	754625
regex	68	590917
regex	69	701542
regex	70	584000
regex	71	725041
regex	72	581584
regex	73	808333
regex	74	600166
regex	75	729542
regex	76	583167
regex	77	817500
regex	78	606042
regex	79	799500
regex	80	595750
regex	81	744083
regex	82	581708
regex	83	707208
regex	84	588167
regex	85	739250
regex	86	579041
regex	87	708250
regex	88	590083
regex	89	752625
regex	90	590625
regex	91	710208
regex	92	582209
regex	93	721375
regex	94	598542
regex	95	706334
regex	96	581250
regex	97	731459
regex	98	581500
regex	99	699417
regex	100	584416
sin	1	40000
sin	2	8625
sin	3	8584
sin	4	8542
sin	5	8542
sin	6	8542
sin	7	8541
sin	8	8541
sin	9	8542
sin	10	8542
sin	11	8500
sin	12	8459
sin	13	8459
sin	14	8458
sin	15	8458
sin	16	8458
sin	17	8500
sin	18	8417
sin	19	8458
sin	20	8416
sin	21	8416
sin	22	8416
sin	23	8458
sin	24	8417
sin	25	8500
sin	26	8416
sin	27	8458
sin	28	8375
sin	29	8458
sin	30	8417
sin	31	8459
sin	32	8417
sin	33	8458
sin	34	8416
sin	35	8500
sin	36	8417
sin	37	8458
sin	38	8416
sin	39	8416
sin	40	8416
sin	41	8458
sin	42	8459
sin	43	8458
sin	44	8458
sin	45	8458
sin	46	8416
sin	47	8458
sin	48	8458
sin	49	8459
sin	50	8459
sin	51	8458
sin	52	8458
sin	53	8416
sin	54	8458
sin	55	8417
