Function	Run	Duration(ns)
round	1	132125
round	2	127625
round	3	127667
round	4	136833
round	5	127750
round	6	127834
round	7	127750
round	8	128125
round	9	127833
round	10	128125
round	11	127542
round	12	130084
round	13	157417
round	14	132917
round	15	127583
round	16	128458
round	17	135125
round	18	127875
round	19	127917
round	20	127542
round	21	134250
round	22	127875
round	23	127625
round	24	127500
round	25	127583
round	26	127583
round	27	127500
round	28	127625
round	29	127500
round	30	127584
round	31	127709
round	32	116375
round	33	114708
round	34	114750
round	35	114875
round	36	115000
round	37	115000
round	38	115042
round	39	114666
round	40	115042
round	41	114750
round	42	114958
round	43	114875
round	44	116375
round	45	120584
round	46	114875
round	47	114625
round	48	114750
round	49	114750
round	50	114792
round	51	114667
round	52	114709
round	53	114834
round	54	114750
round	55	117375
round	56	114791
round	57	114750
round	58	114709
round	59	114709
round	60	117209
round	61	114750
round	62	114792
round	63	114792
round	64	114833
round	65	114875
round	66	114792
round	67	114750
round	68	114875
round	69	114875
round	70	114666
round	71	114708
round	72	114667
round	73	114709
round	74	114834
round	75	114875
round	76	114667
round	77	114834
round	78	114792
round	79	114875
round	80	114709
round	81	114667
round	82	119666
round	83	133542
round	84	117500
round	85	114708
round	86	114666
round	87	114666
round	88	114667
round	89	121500
round	90	114708
round	91	114708
round	92	114667
round	93	114709
round	94	114667
round	95	114708
round	96	114708
round	97	118833
round	98	114750
round	99	114667
round	100	111000
binStr	1	2493125
binStr	2	2959833
binStr	3	2535250
binStr	4	2590458
binStr	5	2373833
binStr	6	2294375
binStr	7	2196542
binStr	8	2158042
binStr	9	2457667
binStr	10	2097708
binStr	11	2091500
binStr	12	1979709
binStr	13	2009417
binStr	14	1915333
binStr	15	2146458
binStr	16	2020583
binStr	17	2039250
binStr	18	1947916
binStr	19	1961917
binStr	20	1856250
binStr	21	1916417
binStr	22	1888542
binStr	23	1926209
binStr	24	1943959
binStr	25	1908750
binStr	26	1788542
binStr	27	1849083
binStr	28	1706750
binStr	29	1866375
binStr	30	1746416
binStr	31	1929708
binStr	32	1913000
binStr	33	1829250
binStr	34	1690416
binStr	35	1759083
binStr	36	1778542
binStr	37	1826500
binStr	38	1628792
binStr	39	1748500
binStr	40	1597209
binStr	41	1716542
binStr	42	1723375
binStr	43	1680833
binStr	44	1644166
binStr	45	1823167
binStr	46	1635709
binStr	47	1757125
binStr	48	1744917
binStr	49	1733042
binStr	50	1604959
binStr	51	1745041
binStr	52	1660417
binStr	53	1779666
binStr	54	1525750
binStr	55	1669000
binStr	56	1622000
binStr	57	1786709
binStr	58	1748792
binStr	59	1733916
binStr	60	1658500
binStr	61	1796792
binStr	62	1691666
binStr	63	1808500
binStr	64	1623459
binStr	65	1743541
binStr	66	1630083
binStr	67	1746750
binStr	68	1546208
binStr	69	1541833
binStr	70	1712458
binStr	71	1629250
binStr	72	1680875
binStr	73	1565083
binStr	74	1767292
binStr	75	1612750
binStr	76	1754459
binStr	77	1605292
binStr	78	1694041
binStr	79	1560708
binStr	80	1744792
binStr	81	1665291
binStr	82	1775542
binStr	83	1623541
binStr	84	1664542
binStr	85	1601625
binStr	86	1812959
binStr	87	1672167
binStr	88	1736833
binStr	89	1547584
binStr	90	1646834
binStr	91	1594292
binStr	92	1714791
binStr	93	1670792
binStr	94	1710166
binStr	95	1634375
binStr	96	1731292
binStr	97	1599250
binStr	98	1745834
binStr	99	1594959
binStr	100	1722750
loop	1	1117658000
loop	2	1117990000
loop	3	1116513292
loop	4	1118235792
loop	5	1116520834
loop	6	1117713042
loop	7	1118477583
loop	8	1116791958
loop	9	1117483459
loop	10	1116335959
loop	11	1116941708
loop	12	1118090834
loop	13	1117351750
loop	14	1117952541
loop	15	1116723958
loop	16	1117170917
loop	17	1125092042
loop	18	1118578750
loop	19	1116451458
loop	20	1118644542
loop	21	1116170209
loop	22	1118312000
loop	23	1116507291
loop	24	1116864250
loop	25	1116996959
loop	26	1117333000
loop	27	1116187875
loop	28	1116758041
loop	29	1118451000
loop	30	1116169917
loop	31	1118673416
loop	32	1118529250
loop	33	1117086166
loop	34	1116412625
loop	35	1119710458
loop	36	1116282958
loop	37	1116557166
loop	38	1116829708
loop	39	1117283083
loop	40	1118054958
loop	41	1116921250
loop	42	1118917000
loop	43	1116146167
loop	44	1118645042
loop	45	1117308042
loop	46	1118831042
loop	47	1116310917
loop	48	1116344875
loop	49	1118457250
loop	50	1116500292
loop	51	1118666459
loop	52	1117061000
loop	53	1116366708
loop	54	1118170000
loop	55	1116435541
loop	56	1116803000
loop	57	1118734875
loop	58	1116625750
loop	59	1118211625
loop	60	1116687666
loop	61	1119359416
loop	62	1116568625
loop	63	1118507041
loop	64	1116274291
loop	65	1116637291
loop	66	1116043208
loop	67	1115830208
loop	68	1119000833
loop	69	1118044041
loop	70	1116946500
loop	71	1124454542
loop	72	1116874417
loop	73	1117127709
loop	74	1117705334
loop	75	1118210625
loop	76	1116129459
loop	77	1118797291
loop	78	1119300833
loop	79	1116727250
loop	80	1117827041
loop	81	1117665833
loop	82	1117732333
loop	83	1116444083
loop	84	1118638250
loop	85	1116740625
loop	86	1118695958
loop	87	1116598917
loop	88	1116138083
loop	89	1118820167
loop	90	1117417167
loop	91	1118178500
loop	92	1117521708
loop	93	1116922750
loop	94	1117564083
loop	95	1117710250
loop	96	1117714417
loop	97	1116405916
loop	98	1118137625
loop	99	1116467875
loop	100	1117871750
bitwise	1	70708
bitwise	2	67958
bitwise	3	67958
bitwise	4	67334
bitwise	5	66500
bitwise	6	66542
bitwise	7	66500
bitwise	8	66500
bitwise	9	69584
bitwise	10	74166
bitwise	11	74250
bitwise	12	74167
bitwise	13	78500
bitwise	14	79208
bitwise	15	66500
bitwise	16	66666
bitwise	17	74209
bitwise	18	74125
bitwise	19	74250
bitwise	20	74208
bitwise	21	71417
bitwise	22	66500
bitwise	23	71667
bitwise	24	74208
bitwise	25	74166
bitwise	26	74500
bitwise	27	74208
bitwise	28	70750
bitwise	29	70083
bitwise	30	74166
bitwise	31	74208
bitwise	32	74167
bitwise	33	74459
bitwise	34	74625
bitwise	35	70042
bitwise	36	70833
bitwise	37	74208
bitwise	38	74208
bitwise	39	74208
bitwise	40	74167
bitwise	41	74167
bitwise	42	68208
bitwise	43	66500
bitwise	44	70083
bitwise	45	74208
bitwise	46	74208
bitwise	47	74167
bitwise	48	74167
bitwise	49	68041
bitwise	50	66500
bitwise	51	70292
bitwise	52	74167
bitwise	53	74541
bitwise	54	74209
bitwise	55	74209
bitwise	56	68166
bitwise	57	67667
bitwise	58	74166
bitwise	59	74208
bitwise	60	74209
bitwise	61	74167
bitwise	62	74208
bitwise	63	67083
bitwise	64	68333
bitwise	65	74167
bitwise	66	74209
bitwise	67	74208
bitwise	68	74166
bitwise	69	74083
bitwise	70	66500
bitwise	71	69042
bitwise	72	74167
bitwise	73	74166
bitwise	74	74208
bitwise	75	74209
bitwise	76	73417
bitwise	77	66500
bitwise	78	69708
bitwise	79	74166
bitwise	80	74500
bitwise	81	74208
bitwise	82	74208
bitwise	83	72750
bitwise	84	66834
bitwise	85	70459
bitwise	86	74208
bitwise	87	74166
bitwise	88	74167
bitwise	89	74209
bitwise	90	72000
bitwise	91	66500
bitwise	92	71125
bitwise	93	74167
bitwise	94	74209
bitwise	95	74167
bitwise	96	74166
bitwise	97	71333
bitwise	98	68917
bitwise	99	74208
bitwise	100	74166
str	1	1372291
str	2	1411792
str	3	1418666
str	4	1430709
str	5	1457583
str	6	1540875
str	7	1687166
str	8	1325208
str	9	1346125
str	10	1331166
str	11	1332917
str	12	1327417
str	13	1330750
str	14	1575291
str	15	1372959
str	16	1375833
str	17	1363083
str	18	1408166
str	19	1368792
str	20	1374709
str	21	1484875
str	22	1231375
str	23	1250500
str	24	1309375
str	25	1227166
str	26	1209584
str	27	1256291
str	28	1276917
str	29	1313416
str	30	1329542
str	31	1321750
str	32	1337917
str	33	1335959
str	34	1348541
str	35	1348000
str	36	1418917
str	37	1273667
str	38	1197916
str	39	1246667
str	40	1279542
str	41	1312375
str	42	1331916
str	43	1539708
str	44	1233375
str	45	1279250
str	46	1327708
str	47	1320166
str	48	1319042
str	49	1338417
str	50	1509208
str	51	1323208
str	52	1333875
str	53	1344792
str	54	1336583
str	55	1336000
str	56	1338708
str	57	1334833
str	58	1421250
str	59	1258833
str	60	1306541
str	61	1314875
str	62	1329666
str	63	1324417
str	64	1343000
str	65	1408000
str	66	1243708
str	67	1284125
str	68	1320333
str	69	1320625
str	70	1333791
str	71	1331375
str	72	1453834
str	73	1360875
str	74	1347042
str	75	1348791
str	76	1344750
str	77	1363542
str	78	1354917
str	79	1347833
str	80	1461458
str	81	1388000
str	82	1385500
str	83	1370458
str	84	1372500
str	85	1373250
str	86	1386334
str	87	1409500
str	88	1207791
str	89	1277167
str	90	1288750
str	91	1321875
str	92	1316750
str	93	1322667
str	94	1455125
str	95	1348542
str	96	1341375
str	97	1343583
str	98	1348833
str	99	1353667
str	100	1360416
remainder	1	222500
remainder	2	201459
remainder	3	198625
remainder	4	198459
remainder	5	201000
remainder	6	201042
remainder	7	198459
remainder	8	201375
remainder	9	198584
remainder	10	202167
remainder	11	173250
remainder	12	169209
remainder	13	167250
remainder	14	166666
remainder	15	166708
remainder	16	166834
remainder	17	166917
remainder	18	167000
remainder	19	166708
remainder	20	166625
remainder	21	169417
remainder	22	167334
remainder	23	166625
remainder	24	166708
remainder	25	166834
remainder	26	166917
remainder	27	166750
remainder	28	166708
remainder	29	166667
remainder	30	166667
remainder	31	166667
remainder	32	169375
remainder	33	166875
remainder	34	169959
remainder	35	166875
remainder	36	166666
remainder	37	166875
remainder	38	166750
remainder	39	169375
remainder	40	166708
remainder	41	169375
remainder	42	166833
remainder	43	167041
remainder	44	166917
remainder	45	166917
remainder	46	160958
remainder	47	143917
remainder	48	143667
remainder	49	143709
remainder	50	143792
remainder	51	143917
remainder	52	143916
remainder	53	146292
remainder	54	155917
remainder	55	147375
remainder	56	146833
remainder	57	143708
remainder	58	143709
remainder	59	143792
remainder	60	149125
remainder	61	143917
remainder	62	144292
remainder	63	143833
remainder	64	143709
remainder	65	144167
remainder	66	144292
remainder	67	143666
remainder	68	143750
remainder	69	143708
remainder	70	143708
remainder	71	143666
remainder	72	143750
remainder	73	144250
remainder	74	144042
remainder	75	143875
remainder	76	144083
remainder	77	143667
remainder	78	143625
remainder	79	143916
remainder	80	144333
remainder	81	143625
remainder	82	143667
remainder	83	143667
remainder	84	192583
remainder	85	143750
remainder	86	143959
remainder	87	133625
remainder	88	128166
remainder	89	127583
remainder	90	127500
remainder	91	127625
remainder	92	127542
remainder	93	127500
remainder	94	127583
remainder	95	127541
remainder	96	127542
remainder	97	127542
remainder	98	127584
remainder	99	127542
remainder	100	127583
regex	1	70998042
regex	2	70454334
regex	3	71046834
regex	4	71466083
regex	5	72101833
regex	6	72158250
regex	7	71668333
regex	8	72642333
regex	9	75578625
regex	10	71559250
regex	11	71243500
regex	12	71789375
regex	13	73036625
regex	14	72661833
regex	15	71562042
regex	16	71188625
regex	17	71454583
regex	18	72106084
regex	19	71402584
regex	20	72235250
regex	21	72116834
regex	22	73282750
regex	23	72812459
regex	24	72824500
regex	25	72325958
regex	26	71819500
regex	27	71811250
regex	28	72498792
regex	29	72191334
regex	30	71926541
regex	31	71607625
regex	32	70868500
regex	33	71155125
regex	34	71802083
regex	35	71744083
regex	36	71149875
regex	37	71617583
regex	38	72035791
regex	39	71038667
regex	40	71800791
regex	41	71611833
regex	42	71906084
regex	43	72143667
regex	44	72272750
regex	45	72088000
regex	46	71329542
regex	47	71291917
regex	48	72170375
regex	49	71309125
regex	50	71496833
regex	51	71506000
regex	52	71402000
regex	53	72706167
regex	54	72521042
regex	55	72256917
regex	56	71941292
regex	57	71830500
regex	58	72763458
regex	59	72048125
regex	60	72516708
regex	61	71313750
regex	62	71620625
regex	63	71787709
regex	64	72280542
regex	65	71517167
regex	66	71984458
regex	67	72385083
regex	68	73540000
regex	69	72044750
regex	70	72301042
regex	71	72448584
regex	72	72343625
regex	73	72150084
regex	74	72364250
regex	75	71611000
regex	76	72712125
regex	77	72100375
regex	78	72136708
regex	79	71877458
regex	80	72107416
regex	81	72503750
regex	82	71894917
regex	83	71875292
regex	84	72069083
regex	85	72117042
regex	86	72207667
regex	87	71847541
regex	88	71571916
regex	89	71654375
regex	90	71813375
regex	91	71380583
regex	92	71877375
regex	93	72043250
regex	94	72213292
regex	95	73077458
regex	96	72467042
regex	97	71839166
regex	98	73074292
regex	99	72204125
regex	100	71765416
cos	1	287584
cos	2	285083
cos	3	282708
cos	4	286125
cos	5	282792
cos	6	285834
cos	7	284834
cos	8	285833
cos	9	286208
cos	10	286000
cos	11	286000
cos	12	285791
cos	13	286083
cos	14	285708
cos	15	285834
cos	16	289750
cos	17	286167
cos	18	285834
cos	19	285709
cos	20	285750
cos	21	285875
cos	22	289583
cos	23	286167
cos	24	286208
cos	25	285834
cos	26	285875
cos	27	285875
cos	28	285833
cos	29	285792
cos	30	286125
cos	31	286208
cos	32	285791
cos	33	285917
cos	34	285792
cos	35	285917
cos	36	338666
cos	37	314333
cos	38	300292
cos	39	307167
cos	40	294208
cos	41	296625
cos	42	277583
cos	43	281375
cos	44	312708
cos	45	311708
cos	46	314042
cos	47	292375
cos	48	293083
cos	49	316584
cos	50	297833
cos	51	299333
cos	52	309583
cos	53	298792
cos	54	306584
cos	55	301417
cos	56	304000
cos	57	313541
cos	58	301167
cos	59	304208
cos	60	306667
cos	61	303542
cos	62	309291
cos	63	303833
cos	64	321875
cos	65	309500
cos	66	303500
cos	67	307750
cos	68	316208
cos	69	300666
cos	70	282292
cos	71	282875
cos	72	256625
cos	73	266250
cos	74	284375
cos	75	264792
cos	76	279625
cos	77	277167
cos	78	274125
cos	79	284667
cos	80	276542
cos	81	284958
cos	82	279125
cos	83	284083
cos	84	279792
cos	85	285875
cos	86	284834
cos	87	281375
cos	88	284666
cos	89	285708
cos	90	284833
cos	91	284959
cos	92	285084
cos	93	284875
cos	94	284917
cos	95	285042
cos	96	284791
cos	97	288458
cos	98	293625
cos	99	285000
cos	100	289167
sin	1	345417
sin	2	321792
sin	3	321916
sin	4	346042
sin	5	307083
sin	6	289042
sin	7	301834
sin	8	277209
sin	9	292208
sin	10	309500
sin	11	296625
sin	12	299417
sin	13	308625
sin	14	299125
sin	15	309042
sin	16	301708
sin	17	303541
sin	18	309250
sin	19	303583
sin	20	306500
sin	21	307000
sin	22	319333
sin	23	309625
sin	24	306208
sin	25	406083
sin	26	351167
sin	27	318208
sin	28	318667
sin	29	320709
sin	30	288834
sin	31	288250
sin	32	313750
sin	33	301292
sin	34	308167
sin	35	304875
sin	36	342208
sin	37	307291
sin	38	283584
sin	39	286041
sin	40	316292
sin	41	298958
sin	42	316041
sin	43	301292
sin	44	304333
sin	45	309000
sin	46	303833
sin	47	311875
sin	48	347833
sin	49	302708
sin	50	293458
sin	51	280833
sin	52	333792
sin	53	295125
sin	54	296625
sin	55	314375
sin	56	301666
sin	57	304958
sin	58	308333
sin	59	306000
sin	60	309375
sin	61	306375
sin	62	305916
sin	63	309583
sin	64	306125
sin	65	309458
sin	66	309500
sin	67	312666
sin	68	309500
sin	69	339375
sin	70	306458
sin	71	310208
sin	72	291125
sin	73	297250
sin	74	313417
sin	75	303500
sin	76	309458
sin	77	301292
sin	78	307917
sin	79	314042
sin	80	314542
sin	81	313708
sin	82	303750
sin	83	306208
sin	84	309875
sin	85	305958
sin	86	309333
sin	87	309500
sin	88	313125
sin	89	309500
sin	90	313500
sin	91	309417
sin	92	309458
sin	93	312459
sin	94	309417
sin	95	309416
sin	96	312458
sin	97	309417
sin	98	309458
sin	99	309500
sin	100	328708
recursive	1	12319707375
recursive	2	12286856125
recursive	3	12328970208
recursive	4	12295500625
recursive	5	12292239125
recursive	6	12292324542
recursive	7	12288215458
recursive	8	12302160459
recursive	9	12300248917
recursive	10	12289231959
recursive	11	12288217458
recursive	12	12302145541
recursive	13	12294101209
recursive	14	12285008916
recursive	15	12291895917
recursive	16	12291528625
recursive	17	12296421250
recursive	18	12288213583
recursive	19	12319293791
recursive	20	12291817875
recursive	21	12296338125
recursive	22	12296014042
recursive	23	12287495208
recursive	24	12288674459
recursive	25	12295916208
recursive	26	12289106625
recursive	27	12308601458
recursive	28	12294052584
recursive	29	12292321125
recursive	30	12295565084
recursive	31	12292841000
recursive	32	12297935041
recursive	33	12290340208
recursive	34	12297421583
recursive	35	12297510625
recursive	36	12293210458
recursive	37	12299638542
recursive	38	12290111750
recursive	39	12290932791
recursive	40	12293006375
recursive	41	12287302833
recursive	42	12292081042
recursive	43	12291511917
recursive	44	12290322166
recursive	45	12281698958
recursive	46	12288209208
recursive	47	12310887250
recursive	48	12290658584
recursive	49	12291788375
recursive	50	12288884750
recursive	51	12301992208
recursive	52	12305342750
recursive	53	12289528292
recursive	54	12407439250
recursive	55	12289422667
recursive	56	12411481917
recursive	57	12302201333
recursive	58	12294883917
recursive	59	12421551792
recursive	60	12290944209
recursive	61	12308173125
recursive	62	12423036334
recursive	63	12291478000
recursive	64	12293599625
recursive	65	12285020625
recursive	66	12299234250
recursive	67	12291913292
recursive	68	12293782333
recursive	69	12291262333
